Gene_ID	Roots_Control_full_fertilizer	Roots_Control_water	Roots_Ammonium_stress	Roots_Nitrate_stress	Roots_Urea_stress	Shoots_Control_full_fertilizer	Shoots_Control_water	Shoots_Ammonium_stress	Shoots_Nitrate_stress	Shoots_Urea_stress
Sobic.001G042400	0.306	0.632	0.263	0.4	0.315	1.021	1.937	0.726	0.652	0.465
Sobic.001G042500	2.541	1.757	2.232	2.297	2.957	5.892	3.529	5.749	4.582	5.107
Sobic.001G042600	0.07	0.108	0.105	0.189	0.122	0.542	0.415	0.426	0.471	0.364
Sobic.001G042700	0.007	0.008	0.005	0.008	0	0.029	0.036	0.037	0.034	0.047
Sobic.001G042800	3.252	3.302	3.359	3.805	3.535	7.506	10.183	11.284	13.915	10.497
Sobic.001G042901	0.99	0.284	0.295	0.316	0.3	0.04	0.04	0.055	0.107	0.025
Sobic.001G043000	0.146	0.605	0.217	0.503	0.301	7.43	14.208	24.498	32.212	36.751
Sobic.001G043100	15.673	17.07	16.285	15.598	14.475	16.701	18.273	18.633	20.906	18.484
Sobic.001G043200	3.104	3.735	3.466	3.471	3.662	3.998	3.508	2.938	2.843	2.78
Sobic.001G043300	0.356	0.492	0.22	0.389	0.447	0.539	0.36	0.461	0.628	0.362
Sobic.001G043400	25.083	27.43	24.057	23.304	22.041	28.835	16.981	14.147	15.838	14.717
Sobic.001G043500	0.951	1.545	1.761	1.685	1.511	3.219	2.756	2.941	3.011	2.352
Sobic.001G043601	11.232	9.527	10.162	8.225	9.837	14.925	12.335	10.03	11.185	9.717
Sobic.001G043700	5.251	5.377	6.916	7.027	6.379	5.56	3.992	5.389	6.839	5.702
Sobic.001G043800	34.902	38.389	33.916	35.243	33.774	38.436	37.472	33.504	34.219	34.236
Sobic.001G043900	10.797	12.529	12.593	12.198	11.691	10.355	11.723	10.751	10.573	10.33
Sobic.001G044000	1.595	2.509	1.33	1.123	1.625	0.91	1.136	0.611	0.607	0.537
Sobic.001G044100	0.762	0.982	0.859	1.034	1.486	0	0	0	0	0.009
Sobic.001G044200	0.371	0.388	0.093	0.051	0.166	0.02	0.23	0.04	0	0.079
Sobic.001G044300	0.266	0.517	0.474	0.354	0.29	0.254	0.533	0.428	0.311	0.342
Sobic.001G044400	0.238	0.56	0.314	0.191	0.31	0.083	0.219	0.131	0.204	0.168
Sobic.001G044500	12.309	15.636	12.629	12.108	10.961	3.808	6.69	3.584	3.442	3.461
Sobic.001G044600	0.562	1.176	0.533	0.634	0.624	5.393	2.338	2.167	2.084	1.863
Sobic.001G044700	0.069	0.04	0	0	0	0	0.036	0	0	0
Sobic.001G044800	0.505	0.384	0.252	0.147	0.364	1.261	1.605	0.726	0.638	0.937
Sobic.001G044900	7.575	9.078	5.222	5.77	5.839	8.696	7.683	4.059	4.508	5.257
Sobic.001G045000	41.721	35.083	35.515	32.295	34.018	20.286	25.501	11.314	10.005	10.44
Sobic.001G045100	0.235	0.237	0.424	0.418	0.581	0	0	0.028	0	0.047
Sobic.001G045300	0.729	0.278	0.516	0.361	0.769	0.29	0.092	0.159	0.115	0.181
Sobic.001G045400	0.043	0.012	0.056	0.014	0.025	0.034	0.059	0.023	0.103	0.033
Sobic.001G045500	0	0.012	0	0	0	0	0.032	0	0	0
Sobic.001G045600	55.793	46.689	49.466	43.64	50.282	41.473	71.174	53.841	63.378	69.366
Sobic.001G045700	12.154	18.527	12.673	11.829	11.76	53.405	30.124	31.678	35.415	33.761
Sobic.001G045800	7.59	1.928	2.41	2.123	3.033	0.141	0.342	0.113	0.065	0.034
Sobic.001G045900	0	0	0	0	0	0	0	0	0	0
Sobic.001G046000	1.295	5.734	2.596	2.153	1.837	34.132	167.315	120.789	123.261	114.607
Sobic.001G046100	84.342	53.214	95.473	100.88	112.45	71.846	53.005	62.529	70.098	54.372
Sobic.001G046200	2.588	5.058	2.535	2.247	2.546	7.108	6.626	4.63	3.368	4.731
Sobic.001G046300	37.225	27.216	44.124	45.572	50.492	36.692	29.655	32.499	37.307	26.785
Sobic.001G046400	2.711	1.743	2.962	3.58	3.914	29.069	22.576	30.809	28.767	35.39
Sobic.001G046500	0.14	0.444	0.181	0.256	0.165	1.962	2.748	1.846	1.965	2.296
