Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G108285	207.6438023	83.66666875	89.58574418	112.9821914
GRMZM2G412604	5.349653448	0.459522154	2.090401719	2.716642114
GRMZM2G034069	49.28271815	18.70412684	23.63375873	26.08644589
GRMZM2G086925	4.295965022	0.493093999	0.817963538	0.997437187
GRMZM2G409312	8.366679749	1.061178821	1.552535882	1.649900206
GRMZM2G078641	383.0958133	152.6043779	264.966554	358.1356764
GRMZM2G102499	661.4273375	177.0055235	278.2866653	336.4792285
GRMZM2G012326	11.36199753	3.53909854	4.469201743	4.719276853
GRMZM2G340807	22.93135304	3.982428819	5.238370754	8.80841156
GRMZM2G355525	2.322813943	0.134909216	0.149527393	0.266910906
GRMZM2G118403	22.10368582	13.11501716	16.98764517	17.46862442
GRMZM2G322846	26.75692251	8.510331205	9.030433851	15.55751871
GRMZM2G010693	11.61782092	4.1782882	4.956884288	5.621197959
GRMZM2G023715	7.684761895	2.519194306	3.898492091	5.625274311
GRMZM2G169681	10.37547679	0.418157982	0.696332055	0.799788286
GRMZM2G032132	9.437196828	0.985719586	1.655345268	2.04152667
GRMZM2G027804	1.473789708	0.049709152	0.347713314	1.414607147
GRMZM2G341729	93.59060897	41.0377964	48.11404483	62.75509717
GRMZM2G456835	8.839304745	2.900524686	3.403919581	6.689846509
GRMZM2G040890	14.92522752	1.765714173	2.809557773	2.940872892
GRMZM2G085934	8.871229303	0.196408372	0.228574847	0.591707158
GRMZM2G113036	3.146876632	0.071756862	0.074229982	0
GRMZM2G165272	23.6223555	8.316562278	11.22275379	18.31772364
GRMZM2G007012	32.94158457	23.27593564	24.17011876	32.86424139
GRMZM2G064023	39.08193417	15.02290676	15.91408405	23.39574472
GRMZM2G116872	24.60275056	10.51442065	12.76359544	22.26881442
GRMZM2G302259	48.13216076	17.74752712	20.20085859	27.8462033
GRMZM2G018607	20.14891013	11.50746111	12.51656645	14.23858008
GRMZM2G108023	2.453236103	0.038667898	0.063674422	0.210188513
GRMZM2G004414	7.01437077	3.13909598	3.274573911	6.509441974
GRMZM2G141704	21.71650179	6.90498129	9.996050432	11.04827507
GRMZM2G092125	365.472189	72.1491053	103.3768792	246.2428978
GRMZM2G042146	195.2559625	73.48485108	80.42165846	84.33996874
GRMZM2G130049	1.679587663	0.178309673	0.316208855	0.427607836
GRMZM2G031837	6.530816145	1.021572465	1.166464662	1.235625587
GRMZM2G086637	27.944651	0.047698358	0.049342295	0.343159031
GRMZM2G117823	7.355949525	1.472134527	1.763506314	3.053983388
GRMZM2G332495	25.67463334	2.665314348	6.244631763	8.339488849
GRMZM2G001764	18.13174848	0.146317647	0.421647176	0.500014183
AC235543.1_FG002	3.425388935	0.459839224	0.720943131	1.299601801
AC234152.1_FG002	19.55968695	2.972908546	4.003735109	5.240949525
GRMZM2G012923	42.72643962	5.80296062	19.5172132	19.54424321
GRMZM2G071119	4.247318818	1.377078648	1.99422218	2.199788566
GRMZM2G027851	12.63045334	5.644987061	8.032967551	8.990668555
GRMZM2G121070	11.71635584	0.795884116	2.381731183	3.324188396
AC189750.4_FG004	31.68343411	30.26201965	189.2154014	329.8919733
AC191097.3_FG007	1.686886606	0.117464059	15.9268157	25.71855316
AC194022.3_FG013	9.257923913	5.753128575	71.95391048	105.2178968
AC196292.3_FG004	11.31235223	9.006769914	22.5862002	23.03224612
AC200298.4_FG001	0	0.228047378	1.516545606	6.480584615
AC208201.3_FG002	5.971458285	4.55361956	6.662079585	13.57455182
AC208341.4_FG005	28.57508361	18.27656352	30.92799519	58.81745784
AC208897.3_FG003	1.595720994	0.108658938	1.654126595	3.583232611
AC208897.3_FG004	1.100832579	0	36.13336379	155.5097938
AC210013.4_FG014	6.134994614	4.525090389	11.33090285	14.16177917
AC211394.4_FG004	49.97537611	41.15940625	74.12956268	88.15858048
AC214432.4_FG005	4.627801409	0.843879595	7.240943118	18.52360617
AC233871.1_FG012	0	0.365303776	2.720837317	4.02103264
AC233880.1_FG010	0.71137727	0.424747719	1.207773163	2.934617282
AC233888.1_FG001	2.035248779	0.636721067	3.260395886	14.38370854
AC233960.1_FG003	3.832419802	2.433184078	8.112074662	24.36723253
AC234520.1_FG003	44.42183229	25.21143032	58.08315604	59.23683365
GRMZM2G000397	38.22400404	32.07747676	55.20717478	96.2591266
GRMZM2G000749	6.924871076	6.781075223	16.95112868	18.19804592
GRMZM2G002075	4.712908961	2.307388929	8.044209258	15.01561784
GRMZM2G003682	7.209131587	1.928803936	7.492019899	8.120909058
GRMZM2G003762	171.5545293	111.7504147	958.1414021	2688.41953
GRMZM2G004083	9.405902717	8.894223645	16.68883445	20.03671641
GRMZM2G004182	12.79937623	8.244729051	28.34901233	41.9962988
GRMZM2G004305	1.871387828	1.827464371	4.875367025	7.381014317
GRMZM2G004696	37.47365248	32.79389569	50.00274221	53.30542949
GRMZM2G004898	1.211946403	0.65403988	2.029744639	5.982575711
GRMZM2G005146	3.454994905	0.852354318	6.277084594	19.46954947
GRMZM2G005840	3.685659154	3.6122169	6.243621652	13.7832857
GRMZM2G007249	9.912663374	1.609528874	10.8728456	28.93411383
GRMZM2G009025	0.829682025	0.028655796	0	0
GRMZM2G010447	9.489140794	7.81613593	18.04305968	44.98566006
GRMZM2G010927	4.040232564	2.330150224	8.500559213	13.72247693
GRMZM2G011140	0.62342922	0.504660401	3.467927899	5.143501971
