Gene_ID	PhyB-mutant_58M_6DAP_Means	PhyB-mutant_58M_7DAP_Means	PhyB-mutant_58M_8DAP_Means	Wildtype_100M_6DAP_Means	Wildtype_100M_7DAP_Means	Wildtype_100M_8DAP_Means
Sobic.003G207700	0	0	0	0	0	0
Sobic.003G207800	0	0	0	0	0	0
Sobic.003G207900	0.0159730513	0	0	0.0208409967	0.0596929725	0
Sobic.003G208000	0	0	0	0	0	0
Sobic.003G208100	0.0958172318	0.1010826658	0.0900921073	0.0533106732	0.0587326201	0.0545224999
Sobic.003G208200	0.028719843	0.0602547885	0.0217079991	0.0188662441	0.0573148883	0.1077650512
Sobic.003G208300	20.2464695979	15.6827021042	16.3648921802	21.1059935472	18.1083244151	20.8000283604
Sobic.003G208400	0.9815062476	1.7336401461	2.0378969784	0.7754909049	1.2943676804	1.3505487404
Sobic.003G208500	0.2285057864	0.1619250671	0.2304865043	0.1074832532	0.0338667039	0.0438661913
Sobic.003G208600	0	0	0	0	0	0
Sobic.003G208700	0.2701639188	0.1953861748	0.1623962845	0.1385200786	0.1011785513	0.1295566207
Sobic.003G208800	58.1302831553	59.5977452164	51.0984822102	51.4238218655	49.4226077564	44.386948811
Sobic.003G208900	0	0	0	0.0114970957	0.0087838726	0.0126856456
Sobic.003G209000	121.2279510982	99.7933373382	74.9398454847	125.7271739038	115.1802712378	105.1924989517
Sobic.003G209100	0	0	0	0	0	0
Sobic.003G209200	23.2115605909	24.3986395852	21.5829709083	25.3348459828	26.2392954886	25.1039434445
Sobic.003G209300	0	0	0	0	0	0
Sobic.003G209400	75.1235162387	71.0406354733	66.9197126303	69.4188687444	67.1164091643	65.6738728499
Sobic.003G209500	0.0971204862	0.211046307	0.1835437561	0.3378088942	0.2204041551	0.3751208192
Sobic.003G209600	1.6693758584	1.6052981308	1.7127295669	2.8696348667	4.5642904626	3.9543346349
Sobic.003G209700	0	0	0	0	0	0
Sobic.003G209800	1.1472536599	2.0391319235	3.6358666171	1.109459561	9.0544267523	6.3263303926
Sobic.003G209900	2.9217751381	11.2354775268	19.3127160697	5.0314479642	49.1345560913	42.3011365053
Sobic.003G210000	0	0	0	0	0	0
Sobic.003G210100	3.8788319412	4.8289433973	3.2590421258	4.529556821	5.1159574454	5.2459846625
